kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
107,3.533333,-8.027137,-0.428746,0.750000,0.994778,0.000000,0.000000,0.102058,-15.511541,-1.871275,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
108,3.566666,-7.724757,-0.363831,0.750000,0.993972,0.000000,0.000000,0.109637,-15.876572,-2.904079,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
109,3.595833,-7.458114,-0.302815,0.750000,0.993257,0.000000,0.000000,0.115933,-16.125245,-3.833200,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
110,3.629166,-7.151253,-0.228159,0.750000,0.992445,0.000000,0.000000,0.122692,-16.318985,-4.891339,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
111,3.662499,-6.842645,-0.148815,0.750000,0.991647,0.000000,0.000000,0.128984,-16.418007,-5.909598,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
112,3.695833,-6.532680,-0.065121,0.750000,0.990875,0.000000,0.000000,0.134786,-16.420131,-6.853722,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
113,3.729166,-6.221713,0.022723,0.750000,0.990144,0.000000,0.000000,0.140051,-16.319239,-7.685109,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
114,3.762499,-5.910171,0.114102,0.750000,0.989463,0.000000,0.000000,0.144784,-16.119480,-8.379344,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
115,3.795833,-5.598405,0.208585,0.750000,0.988842,0.000000,0.000000,0.148968,-15.821190,-8.913071,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
116,3.829166,-5.286778,0.305819,0.750000,0.988294,0.000000,0.000000,0.152561,-15.420972,-9.258860,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
117,3.862499,-4.975623,0.405179,0.750000,0.987824,0.000000,0.000000,0.155577,-14.925589,-9.412925,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
118,3.895833,-4.665253,0.506176,0.750000,0.987438,0.000000,0.000000,0.158004,-14.337867,-9.370083,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
119,3.929166,-4.356039,0.608338,0.750000,0.987148,0.000000,0.000000,0.159806,-13.657400,-9.122614,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
120,3.962499,-4.048235,0.711078,0.750000,0.986954,0.000000,0.000000,0.161004,-12.893027,-8.688541,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
121,3.995833,-3.742126,0.813891,0.750000,0.986857,0.000000,0.000000,0.161595,-12.049839,-8.082469,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
122,4.024999,-3.475989,0.903473,0.750000,0.986859,0.000000,0.000000,0.161585,-11.249058,-7.421468,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
123,4.058333,-3.173900,1.004998,0.750000,0.986952,0.000000,0.000000,0.161014,-10.272631,-6.549982,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
124,4.091666,-2.874452,1.105043,0.750000,0.987148,0.000000,0.000000,0.159806,-9.233527,-5.576852,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
125,4.124999,-2.577814,1.203179,0.750000,0.987440,0.000000,0.000000,0.157995,-8.142410,-4.541207,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
126,4.158333,-2.284258,1.298956,0.750000,0.987822,0.000000,0.000000,0.155586,-7.007124,-3.477887,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
127,4.191666,-1.994235,1.391789,0.750000,0.988294,0.000000,0.000000,0.152561,-5.834657,-2.425109,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
128,4.224999,-1.707878,1.481388,0.750000,0.988843,0.000000,0.000000,0.148959,-4.635700,-1.419761,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
129,4.258333,-1.425468,1.567386,0.750000,0.989462,0.000000,0.000000,0.144793,-3.419006,-0.495666,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
130,4.291666,-1.147510,1.649238,0.750000,0.990144,0.000000,0.000000,0.140051,-2.193578,0.308984,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
131,4.324999,-0.874107,1.726817,0.750000,0.990876,0.000000,0.000000,0.134778,-0.969287,0.971024,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
