t,wx,wy,wz,ax,ay,az,qw,qx,qy,qz
5.270832490,0.000000000,0.000000000,-0.329601707,0.000000000,0.000000000,9.800000000,0.970630639,0.000000000,0.000000000,0.240574650
5.279165822,0.000000000,0.000000000,-0.329601707,0.000000000,0.000000000,9.800000000,0.970960115,0.000000000,0.000000000,0.239241418
5.283332488,0.000000000,0.000000000,-0.344332842,0.000000000,0.000000000,9.800000000,0.971131487,0.000000000,0.000000000,0.238544828
5.287499154,0.000000000,0.000000000,-0.344332842,0.000000000,-0.000000000,9.800000000,0.971302360,0.000000000,0.000000000,0.237848116
5.291665820,0.000000000,0.000000000,-0.344332842,0.000000000,0.000000000,9.800000000,0.971472732,0.000000000,0.000000000,0.237151281
5.295832486,0.000000000,0.000000000,-0.358931230,0.000000000,-0.000000000,9.800000000,0.971649796,0.000000000,0.000000000,0.236424774
5.304165818,0.000000000,0.000000000,-0.358931230,0.000000000,-0.000000000,9.800000000,0.972002294,0.000000000,0.000000000,0.234971363
5.308332484,0.000000000,0.000000000,-0.373391243,0.000000000,0.000000000,9.800000000,0.972184783,0.000000000,0.000000000,0.234215173
5.312499150,0.000000000,0.000000000,-0.373391243,-0.000000000,0.000000000,9.800000000,0.972366685,0.000000000,0.000000000,0.233458841
5.316665816,0.000000000,0.000000000,-0.373391243,-0.000000000,0.000000000,9.800000000,0.972547998,0.000000000,0.000000000,0.232702368
5.320832482,0.000000000,0.000000000,-0.387707307,-0.000000000,-0.000000000,9.800000000,0.972735640,0.000000000,0.000000000,0.231916742
5.329165814,0.000000000,0.000000000,-0.387707307,-0.000000000,-0.000000000,9.800000000,0.973109019,0.000000000,0.000000000,0.230345038
5.333332480,0.000000000,0.000000000,-0.401873903,0.000000000,0.000000000,9.800000000,0.973301532,0.000000000,0.000000000,0.229530234
5.337499146,0.000000000,0.000000000,-0.401873903,0.000000000,0.000000000,9.800000000,0.973493362,0.000000000,0.000000000,0.228715269
5.341665812,0.000000000,0.000000000,-0.401873903,0.000000000,0.000000000,9.800000000,0.973684510,0.000000000,0.000000000,0.227900145
5.345832478,0.000000000,0.000000000,-0.415885568,0.000000000,0.000000000,9.800000000,0.973881603,0.000000000,0.000000000,0.227056431
5.354165810,0.000000000,0.000000000,-0.415885568,-0.000000000,0.000000000,9.800000000,0.974273597,0.000000000,0.000000000,0.225368495
5.358332476,0.000000000,0.000000000,-0.429736902,0.000000000,0.000000000,9.800000000,0.974474975,0.000000000,0.000000000,0.224496152
5.362499142,0.000000000,0.000000000,-0.429736902,0.000000000,0.000000000,9.800000000,0.974675573,0.000000000,0.000000000,0.223623629
5.366665808,0.000000000,0.000000000,-0.429736902,0.000000000,0.000000000,9.800000000,0.974875389,0.000000000,0.000000000,0.222750927
5.370832474,0.000000000,0.000000000,-0.443422563,0.000000000,0.000000000,9.800000000,0.975080750,0.000000000,0.000000000,0.221850245
5.379165806,0.000000000,0.000000000,-0.443422563,0.000000000,0.000000000,9.800000000,0.975488974,0.000000000,0.000000000,0.220048315
5.383332472,0.000000000,0.000000000,-0.456937278,-0.000000000,-0.000000000,9.800000000,0.975698008,0.000000000,0.000000000,0.219119596
5.387499138,0.000000000,0.000000000,-0.456937278,0.000000000,-0.000000000,9.800000000,0.975906157,0.000000000,0.000000000,0.218190679
5.391665804,0.000000000,0.000000000,-0.456937278,-0.000000000,-0.000000000,9.800000000,0.976113422,0.000000000,0.000000000,0.217261564
5.395832470,0.000000000,0.000000000,-0.470275834,0.000000000,0.000000000,9.800000000,0.976325814,0.000000000,0.000000000,0.216305121
5.404165802,0.000000000,0.000000000,-0.470275834,0.000000000,0.000000000,9.800000000,0.976747785,0.000000000,0.000000000,0.214391614
5.408332468,0.000000000,0.000000000,-0.483433090,0.000000000,-0.000000000,9.800000000,0.976963215,0.000000000,0.000000000,0.213407772
5.412499134,0.000000000,0.000000000,-0.483433090,0.000000000,0.000000000,9.800000000,0.977177653,0.000000000,0.000000000,0.212423713
5.416665800,0.000000000,0.000000000,-0.483433090,0.000000000,-0.000000000,9.800000000,0.977391101,0.000000000,0.000000000,0.211439439
5.420832466,0.000000000,0.000000000,-0.496403973,0.000000000,-0.000000000,9.800000000,0.977609243,0.000000000,0.000000000,0.210428533
5.429165798,0.000000000,0.000000000,-0.496403973,0.000000000,-0.000000000,9.800000000,0.978042392,0.000000000,0.000000000,0.208406046
5.433332464,0.000000000,0.000000000,-0.509183483,0.000000000,-0.000000000,9.800000000,0.978262918,0.000000000,0.000000000,0.207368423
5.437499130,0.000000000,0.000000000,-0.509183483,0.000000000,-0.000000000,9.800000000,0.978482344,0.000000000,0.000000000,0.206330567
5.441665796,0.000000000,0.000000000,-0.509183483,-0.000000000,-0.000000000,9.800000000,0.978700669,0.000000000,0.000000000,0.205292478
5.445832462,0.000000000,0.000000000,-0.521766694,0.000000000,-0.000000000,9.800000000,0.978923246,0.000000000,0.000000000,0.204228496
5.454165794,0.000000000,0.000000000,-0.521766694,0.000000000,0.000000000,9.800000000,0.979364931,0.000000000,0.000000000,0.202099809
5.458332460,0.000000000,0.000000000,-0.534148753,-0.000000000,-0.000000000,9.800000000,0.979589223,0.000000000,0.000000000,0.201009837
5.462499126,0.000000000,0.000000000,-0.534148753,0.000000000,-0.000000000,9.800000000,0.979812302,0.000000000,0.000000000,0.199919616
5.466665792,0.000000000,0.000000000,-0.534148753,0.000000000,0.000000000,9.800000000,0.980034168,0.000000000,0.000000000,0.198829148
5.470832458,0.000000000,0.000000000,-0.546324888,0.000000000,-0.000000000,9.800000000,0.980259836,0.000000000,0.000000000,0.197713567
5.479165790,0.000000000,0.000000000,-0.546324888,0.000000000,-0.000000000,9.800000000,0.980707361,0.000000000,0.000000000,0.195481639
5.483332456,0.000000000,0.000000000,-0.558290404,0.000000000,0.000000000,9.800000000,0.980934064,0.000000000,0.000000000,0.194340842
5.487499122,0.000000000,0.000000000,-0.558290404,0.000000000,0.000000000,9.800000000,0.981159439,0.000000000,0.000000000,0.193199782
5.491665788,0.000000000,0.000000000,-0.558290404,0.000000000,-0.000000000,9.800000000,0.981383487,0.000000000,0.000000000,0.192058460
