kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
43,1.420833,-100.217502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-100.217502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
44,1.454166,-99.957502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-99.957502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
45,1.487500,-99.697502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-99.697502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
46,1.520833,-99.437502,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-99.437502,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
47,1.550000,-99.210002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-99.210002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
48,1.583333,-98.950002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-98.950002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
49,1.616666,-98.690002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-98.690002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
50,1.650000,-98.430002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-98.430002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
51,1.683333,-98.170002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-98.170002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
52,1.716666,-97.910002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-97.910002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
53,1.750000,-97.650002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-97.650002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
54,1.783333,-97.390002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-97.390002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
55,1.816666,-97.130002,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-97.130002,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
56,1.850000,-96.870003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-96.870003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
57,1.883333,-96.610003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-96.610003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
58,1.916666,-96.350003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-96.350003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
59,1.945833,-96.122503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-96.122503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
60,1.979166,-95.862503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-95.862503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
61,2.012500,-95.602503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-95.602503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
62,2.045833,-95.342503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-95.342503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
63,2.079166,-95.082503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-95.082503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
64,2.112500,-94.822503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-94.822503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
65,2.145833,-94.562503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-94.562503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
66,2.179166,-94.302503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-94.302503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
67,2.212500,-94.042503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-94.042503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
68,2.245833,-93.782503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-93.782503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
69,2.279166,-93.522503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-93.522503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
70,2.312500,-93.262503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-93.262503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
71,2.345833,-93.002503,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-93.002503,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
72,2.375000,-92.775003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-92.775003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
73,2.408333,-92.515003,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-92.515003,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
