kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
54,1.783333,194.499997,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,194.499997,155.000000,57.312499,0.500000,-0.500000,0.500000,0.500000,0.000
55,1.816666,194.833330,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,194.833330,155.000000,57.437499,0.500000,-0.500000,0.500000,0.500000,4.167
56,1.850000,195.166663,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,195.166663,155.000000,57.562499,0.500000,-0.500000,0.500000,0.500000,4.167
57,1.883333,195.499997,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,195.499997,155.000000,57.687499,0.500000,-0.500000,0.500000,0.500000,0.000
58,1.916666,195.833330,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,195.833330,155.000000,57.812499,0.500000,-0.500000,0.500000,0.500000,4.167
59,1.945833,196.124997,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,196.124997,155.000000,57.921874,0.500000,-0.500000,0.500000,0.500000,0.000
60,1.979166,196.458330,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,196.458330,155.000000,58.046874,0.500000,-0.500000,0.500000,0.500000,4.167
61,2.012500,196.791663,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,196.791663,155.000000,58.171874,0.500000,-0.500000,0.500000,0.500000,4.167
62,2.045833,197.124996,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,197.124996,155.000000,58.296874,0.500000,-0.500000,0.500000,0.500000,0.000
63,2.079166,197.458330,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,197.458330,155.000000,58.421874,0.500000,-0.500000,0.500000,0.500000,4.167
64,2.112500,197.791663,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,197.791663,155.000000,58.546874,0.500000,-0.500000,0.500000,0.500000,4.167
65,2.145833,198.124996,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,198.124996,155.000000,58.671874,0.500000,-0.500000,0.500000,0.500000,0.000
66,2.179166,198.458330,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,198.458330,155.000000,58.796874,0.500000,-0.500000,0.500000,0.500000,4.167
67,2.212500,198.791663,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,198.791663,155.000000,58.921874,0.500000,-0.500000,0.500000,0.500000,4.167
68,2.245833,199.124996,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,199.124996,155.000000,59.046874,0.500000,-0.500000,0.500000,0.500000,0.000
69,2.279166,199.458329,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,199.458329,155.000000,59.171874,0.500000,-0.500000,0.500000,0.500000,4.167
70,2.312500,199.791663,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,199.791663,155.000000,59.296874,0.500000,-0.500000,0.500000,0.500000,4.167
71,2.345833,200.124996,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,200.124996,155.000000,59.421873,0.500000,-0.500000,0.500000,0.500000,0.000
72,2.375000,200.416663,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,200.416663,155.000000,59.531248,0.500000,-0.500000,0.500000,0.500000,4.167
73,2.408333,200.749996,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,200.749996,155.000000,59.656248,0.500000,-0.500000,0.500000,0.500000,0.000
74,2.441666,201.083329,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,201.083329,155.000000,59.781248,0.500000,-0.500000,0.500000,0.500000,4.167
75,2.475000,201.416662,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,201.416662,155.000000,59.906248,0.500000,-0.500000,0.500000,0.500000,4.167
76,2.508333,201.749996,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,201.749996,155.000000,60.031248,0.500000,-0.500000,0.500000,0.500000,0.000
77,2.541666,202.083329,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,202.083329,155.000000,60.156248,0.500000,-0.500000,0.500000,0.500000,4.167
